timestamp,raw_value,attention
1582685666.578847,39,37
1582685666.57894,50,37
1582685666.5791628,108,37
1582685666.57927,139,37
1582685666.579365,105,37
1582685666.5794592,60,37
1582685666.5819001,67,37
1582685666.583168,81,37
1582685666.5868979,52,37
1582685666.588117,13,37
1582685666.589421,24,37
1582685666.590687,42,37
1582685666.628289,44,37
1582685666.62941,39,37
1582685666.63057,49,37
1582685666.6319091,83,37
1582685666.635196,97,37
1582685666.635299,59,37
1582685666.635395,16,37
1582685666.635489,0,37
1582685666.635583,1,37
1582685666.6356769,24,37
1582685666.6357708,43,37
1582685666.635865,68,37
1582685666.635958,77,37
1582685666.636052,53,37
1582685666.6361442,50,37
1582685666.636238,75,37
1582685666.636331,130,37
1582685666.6364238,148,37
1582685666.636572,116,37
1582685666.6366699,116,37
1582685666.6367638,136,37
1582685666.6368582,145,37
1582685666.636951,121,37
1582685666.638153,107,37
1582685666.6393862,96,37
1582685666.640633,70,37
1582685666.6418931,38,37
1582685666.644257,18,37
1582685666.645677,35,37
1582685666.6469219,48,37
1582685666.648113,12,37
1582685666.681949,-28,37
1582685666.683136,-42,37
1582685666.6843798,-61,37
1582685666.685727,-72,37
1582685666.6868632,-24,37
1582685666.690048,72,37
1582685666.690149,164,37
1582685666.6902442,211,37
1582685666.6903381,217,37
1582685666.690432,258,37
1582685666.690527,320,37
1582685666.690621,353,37
1582685666.6907141,338,37
1582685666.690808,316,37
1582685666.690901,339,37
1582685666.690994,376,37
1582685666.691087,390,37
1582685666.691181,393,37
1582685666.691274,418,37
1582685666.691926,461,37
1582685666.693132,481,37
1582685666.6957178,475,37
1582685666.696865,456,37
1582685666.6969678,389,37
1582685666.698197,305,37
1582685666.699418,268,37
1582685666.700649,277,37
1582685666.703147,283,37
1582685666.705703,267,37
1582685666.7069068,214,37
1582685666.709402,157,37
1582685666.7543979,164,37
1582685666.755666,201,37
1582685666.75689,196,37
1582685666.759312,135,37
1582685666.764066,100,37
1582685666.764168,117,37
1582685666.764262,146,37
1582685666.7643561,163,37
1582685666.76445,152,37
1582685666.7645419,120,37
1582685666.7646348,83,37
1582685666.764728,76,37
1582685666.7648199,71,37
1582685666.7649128,50,37
1582685666.765006,55,37
1582685666.765098,70,37
1582685666.7651908,58,37
1582685666.765283,41,37
1582685666.765399,42,37
1582685666.765494,54,37
1582685666.7655869,51,37
1582685666.7656808,24,37
1582685666.765774,11,37
1582685666.765868,-4,37
1582685666.765963,-54,37
1582685666.766057,-77,37
1582685666.7669241,-65,37
1582685666.768157,-49,37
1582685666.80811,-67,37
1582685666.809407,-114,37
1582685666.81181,-149,37
1582685666.816745,-161,37
1582685666.816849,-184,37
1582685666.8169448,-195,37
1582685666.817039,-140,37
1582685666.817133,-90,37
1582685666.8172271,-110,37
1582685666.817321,-151,37
1582685666.817415,-157,37
1582685666.817508,-140,37
1582685666.8176022,-114,37
1582685666.817705,-90,37
1582685666.8178308,-85,37
1582685666.818007,-100,37
1582685666.818104,-113,37
1582685666.818198,-124,37
1582685666.818292,-122,37
1582685666.818384,-97,37
1582685666.818476,-74,37
1582685666.818569,-82,37
1582685666.8186612,-105,37
1582685666.818753,-122,37
1582685666.818846,-118,37
1582685666.819266,-115,37
1582685666.820607,-138,37
1582685666.821922,-151,37
1582685666.823199,-151,37
1582685666.825648,-137,37
1582685666.826943,-134,37
1582685666.828191,-141,37
1582685666.82946,-137,37
1582685666.830644,-139,37
1582685666.8969128,-146,37
1582685666.89815,-142,37
1582685666.89938,-165,37
1582685666.9381409,-173,37
1582685666.941056,-162,37
1582685666.94116,-155,37
1582685666.941256,-161,37
1582685666.941351,-138,37
1582685666.9414551,-94,37
1582685666.9415958,-71,37
1582685666.9417222,-77,37
1582685666.941819,-85,37
1582685666.9419148,-73,37
1582685666.9420102,-67,37
1582685666.942104,-59,37
1582685666.942198,-34,37
1582685666.942293,3,37
1582685666.942386,26,37
1582685666.9424798,20,37
1582685666.942573,19,37
1582685666.942666,69,37
1582685666.9427588,115,37
1582685666.942852,102,37
1582685666.942946,59,37
1582685666.943039,51,37
1582685666.943132,56,37
1582685666.9432251,56,37
1582685666.943437,82,37
1582685666.943546,99,37
1582685666.9436412,97,37
1582685666.9437351,80,37
1582685666.9438279,71,37
1582685666.9439201,83,37
1582685666.944013,106,37
1582685666.944105,102,37
1582685666.944198,66,37
1582685666.944303,56,37
1582685666.9453409,64,37
1582685666.945445,42,37
1582685666.9455419,29,37
1582685666.9456372,37,37
1582685666.9457312,51,37
1582685666.945825,64,37
1582685666.94592,70,37
1582685666.946015,77,37
1582685666.9461088,84,37
1582685666.946203,75,37
1582685666.9462972,76,37
1582685666.946391,91,37
1582685666.946485,105,37
1582685666.946579,114,37
1582685666.946704,92,37
1582685666.946798,59,37
1582685666.946892,40,37
1582685666.946986,56,37
1582685666.947079,90,37
1582685666.947173,105,37
1582685666.947267,89,37
1582685666.9481459,76,37
1582685666.94943,58,37
1582685666.987113,28,37
1582685666.988249,-1,37
1582685666.990601,-23,37
1582685666.993932,-35,37
1582685666.994035,-40,37
1582685666.9941409,-33,37
1582685666.994234,-37,37
1582685666.994328,-39,37
1582685666.994421,-26,37
1582685666.994515,-24,37
1582685666.9946089,-19,37
1582685666.994709,12,37
1582685666.994802,51,37
1582685666.994896,67,37
1582685666.9949892,81,37
1582685666.995083,99,37
1582685666.9951758,108,37
1582685666.9952798,104,37
1582685666.995439,85,37
1582685666.995539,74,37
1582685666.995633,80,37
1582685666.995727,75,37
1582685666.995821,70,37
1582685666.996898,58,37
1582685666.9981282,50,37
1582685666.999404,54,37
1582685667.000675,52,37
1582685667.0031931,29,37
1582685667.004383,21,37
1582685667.005667,25,37
1582685667.008182,24,37
1582685667.009381,21,37
1582685667.045677,10,37
1582685667.046885,17,37
1582685667.048147,20,37
1582685667.050557,2,37
1582685667.053887,-3,37
1582685667.05399,27,37
1582685667.054085,55,37
1582685667.054178,59,37
1582685667.054271,56,37
1582685667.054364,54,37
1582685667.054456,61,37
1582685667.054549,75,37
1582685667.054641,67,37
1582685667.054734,54,37
1582685667.054825,65,37
1582685667.0549178,69,37
1582685667.05501,55,37
1582685667.0551019,40,37
1582685667.0551941,28,37
1582685667.0553489,40,37
1582685667.055444,81,37
1582685667.055536,81,37
1582685667.056936,44,37
1582685667.058136,36,37
1582685667.059432,59,37
1582685667.0605729,55,37
1582685667.0619159,32,37
1582685667.064395,25,37
1582685667.066942,10,37
1582685667.068177,-7,37
1582685667.105765,-17,37
1582685667.106834,-24,37
1582685667.108215,-29,37
1582685667.110593,-37,37
1582685667.1139379,-27,37
1582685667.114041,-23,37
1582685667.1141372,-35,37
1582685667.114232,-36,37
1582685667.114327,-2,37
1582685667.114423,52,37
1582685667.114517,101,37
1582685667.11461,125,37
1582685667.114704,119,37
1582685667.114798,115,37
1582685667.114891,124,37
1582685667.114986,138,37
1582685667.1150799,135,37
1582685667.115173,129,37
1582685667.1152792,114,37
1582685667.1154492,118,37
1582685667.1155488,154,37
1582685667.115644,181,37
1582685667.1169431,167,37
1582685667.11815,107,37
1582685667.1194088,49,37
1582685667.120638,34,37
1582685667.1231701,42,37
1582685667.124382,39,37
1582685667.125676,25,37
1582685667.127001,11,37
1582685667.1294138,8,37
1582685667.130622,24,37
1582685667.170613,36,37
1582685667.1744242,17,17
1582685667.177662,4,17
1582685667.1777642,4,17
1582685667.177859,11,17
1582685667.177952,6,17
1582685667.178045,12,17
1582685667.178139,34,17
1582685667.178232,36,17
1582685667.178325,29,17
1582685667.178418,53,17
1582685667.1785111,91,17
1582685667.1786041,96,17
1582685667.1786969,83,17
1582685667.1787899,85,17
1582685667.178883,101,17
1582685667.178976,119,17
1582685667.179093,121,17
1582685667.179187,121,17
1582685667.1792798,139,17
1582685667.179373,167,17
1582685667.179467,164,17
1582685667.17956,136,17
1582685667.180695,89,17
1582685667.1819258,43,17
1582685667.1831481,54,17
1582685667.1843781,69,17
1582685667.186945,28,17
1582685667.1881459,-51,17
1582685667.189416,-119,17
1582685667.229464,-152,17
1582685667.230672,-117,17
1582685667.231891,-36,17
1582685667.234302,-3,17
1582685667.237775,-20,17
1582685667.237879,-38,17
1582685667.237976,-20,17
1582685667.238071,49,17
1582685667.238165,121,17
1582685667.23826,163,17
1582685667.238354,172,17
1582685667.2384481,157,17
1582685667.238542,138,17
1582685667.238635,118,17
1582685667.238729,107,17
1582685667.238823,122,17
1582685667.2389162,152,17
1582685667.23901,155,17
1582685667.2392142,144,17
1582685667.239315,153,17
1582685667.239409,179,17
1582685667.239501,177,17
1582685667.239593,155,17
1582685667.239685,141,17
1582685667.240733,129,17
1582685667.241925,115,17
1582685667.243166,109,17
1582685667.244427,120,17
1582685667.2456791,105,17
1582685667.249404,51,17
1582685667.25069,4,17
1582685667.2868748,3,17
1582685667.288171,36,17
1582685667.289449,57,17
1582685667.293921,41,17
1582685667.2940412,16,17
1582685667.294142,3,17
1582685667.294271,12,17
1582685667.294392,26,17
1582685667.294507,34,17
1582685667.294616,59,17
1582685667.294734,83,17
1582685667.294851,77,17
1582685667.294944,82,17
1582685667.295037,102,17
1582685667.295134,132,17
1582685667.295265,124,17
1582685667.295566,89,17
1582685667.295681,55,17
1582685667.295778,65,17
1582685667.295872,100,17
1582685667.2959669,132,17
1582685667.29692,144,17
1582685667.298152,130,17
1582685667.2994099,113,17
1582685667.300631,104,17
1582685667.303148,87,17
1582685667.304398,33,17
1582685667.305705,-25,17
1582685667.306954,-40,17
1582685667.311892,-19,17
1582685667.354492,24,17
1582685667.355697,54,17
1582685667.3568902,50,17
1582685667.358179,39,17
1582685667.3614662,34,17
1582685667.361569,43,17
1582685667.361664,80,17
1582685667.361759,89,17
1582685667.361853,82,17
1582685667.3619468,72,17
1582685667.362041,69,17
1582685667.362135,64,17
1582685667.362229,59,17
1582685667.362323,82,17
1582685667.362417,113,17
1582685667.3625112,135,17
1582685667.362605,150,17
1582685667.362699,147,17
1582685667.3628612,133,17
1582685667.362983,139,17
1582685667.363081,145,17
1582685667.3631759,150,17
1582685667.3632698,150,17
1582685667.3633652,133,17
1582685667.363459,113,17
1582685667.363553,124,17
1582685667.364406,157,17
1582685667.365705,163,17
1582685667.3669162,133,17
1582685667.368204,88,17
1582685667.405856,66,17
1582685667.4070039,74,17
1582685667.40818,52,17
1582685667.409447,7,17
1582685667.410521,-18,17
1582685667.413866,-34,17
1582685667.4139678,-41,17
1582685667.4140632,-34,17
1582685667.4141572,-21,17
1582685667.414251,-8,17
1582685667.414345,-7,17
1582685667.414439,-5,17
1582685667.4145331,19,17
1582685667.414627,61,17
1582685667.4147189,97,17
1582685667.414813,87,17
1582685667.414906,52,17
1582685667.415,50,17
1582685667.415094,73,17
1582685667.415187,96,17
1582685667.41528,108,17
1582685667.4153988,117,17
1582685667.415493,91,17
1582685667.4167192,48,17
1582685667.417978,24,17
1582685667.4191291,12,17
1582685667.420406,9,17
1582685667.422899,11,17
1582685667.424126,5,17
1582685667.425417,-11,17
1582685667.428096,-11,17
1582685667.429353,1,17
1582685667.464642,6,17
1582685667.465709,4,17
1582685667.466917,4,17
1582685667.469491,18,17
1582685667.472689,54,17
1582685667.4727921,83,17
1582685667.472887,82,17
1582685667.472982,92,17
1582685667.4730759,146,17
1582685667.4731698,193,17
1582685667.4732642,209,17
1582685667.4733582,217,17
1582685667.473451,244,17
1582685667.473545,273,17
1582685667.473639,264,17
1582685667.473732,260,17
1582685667.473826,296,17
1582685667.473919,327,17
1582685667.4741309,339,17
1582685667.474227,332,17
1582685667.474321,320,17
1582685667.475723,290,17
1582685667.47805,278,17
1582685667.4794922,298,17
1582685667.4806342,339,17
1582685667.483146,346,17
1582685667.484492,299,17
1582685667.485675,260,17
1582685667.487039,268,17
1582685667.488281,284,17
1582685667.557137,266,17
1582685667.5581608,233,17
1582685667.559423,209,17
1582685667.595707,168,17
1582685667.5985699,122,17
1582685667.5986738,112,17
1582685667.598769,114,17
1582685667.5988638,122,17
1582685667.598958,131,17
1582685667.599062,138,17
1582685667.599178,160,17
1582685667.599272,185,17
1582685667.5993652,195,17
1582685667.599458,170,17
1582685667.599552,133,17
1582685667.599645,87,17
1582685667.5997372,54,17
1582685667.599831,26,17
1582685667.5999238,0,17
1582685667.6000168,1,17
1582685667.60011,9,17
1582685667.600204,-4,17
1582685667.600307,-24,17
1582685667.6004689,-33,17
1582685667.600567,-25,17
1582685667.600661,-9,17
1582685667.600754,-7,17
1582685667.600847,-28,17
1582685667.600939,-41,17
1582685667.6010308,-51,17
1582685667.601124,-77,17
1582685667.601217,-98,17
1582685667.60131,-72,17
1582685667.601402,-10,17
1582685667.601495,18,17
1582685667.601588,-2,17
1582685667.6016798,-9,17
1582685667.601773,4,17
1582685667.601865,0,17
1582685667.6027148,-42,17
1582685667.602817,-85,17
1582685667.602912,-102,17
1582685667.603005,-104,17
1582685667.6030989,-101,17
1582685667.603192,-86,17
1582685667.603285,-62,17
1582685667.6033778,-38,17
1582685667.603471,-22,17
1582685667.603563,-20,17
1582685667.603656,-19,17
1582685667.603749,-8,17
1582685667.603842,6,17
1582685667.603935,18,17
1582685667.604116,24,17
1582685667.60424,22,17
1582685667.604336,-5,17
1582685667.6044302,-23,17
1582685667.6057012,-17,17
1582685667.6082292,-29,17
1582685667.60945,-70,17
1582685667.6095529,-94,17
1582685667.610683,-114,17
1582685667.649589,-121,17
1582685667.651881,-125,17
1582685667.655328,-134,17
1582685667.6554308,-140,17
1582685667.6555252,-147,17
1582685667.655618,-137,17
1582685667.6557171,-130,17
1582685667.655811,-129,17
1582685667.655905,-108,17
1582685667.655999,-81,17
1582685667.656097,-77,17
1582685667.656194,-108,17
1582685667.656287,-139,17
1582685667.656381,-123,17
1582685667.6564748,-62,17
1582685667.656569,-5,17
1582685667.6567419,12,17
1582685667.656841,19,17
1582685667.656937,18,17
1582685667.6570308,8,17
1582685667.6571252,5,17
1582685667.6572192,16,17
1582685667.6581812,24,17
1582685667.65946,-3,17
1582685667.660618,-28,17
1582685667.6620219,-11,17
1582685667.664418,51,17
1582685667.6657028,70,17
1582685667.6669729,10,17
1582685667.668225,-40,17
1582685667.710737,-55,17
1582685667.7119029,-42,17
1582685667.7131908,-37,17
1582685667.720455,-54,17
1582685667.72056,-99,17
1582685667.720656,-129,17
1582685667.720751,-114,17
1582685667.720845,-66,17
1582685667.720939,-17,17
1582685667.721034,25,17
1582685667.721128,40,17
1582685667.7212212,39,17
1582685667.721314,43,17
1582685667.721407,49,17
1582685667.721511,34,17
1582685667.721677,-1,17
1582685667.721782,-5,17
1582685667.721878,20,17
1582685667.721986,33,17
1582685667.722079,25,17
1582685667.7221708,41,17
1582685667.722263,74,17
1582685667.722355,107,17
1582685667.7224472,103,17
1582685667.722539,86,17
1582685667.723184,101,17
1582685667.724458,106,17
1582685667.7257311,67,17
1582685667.72705,8,17
1582685667.729504,2,17
1582685667.730637,24,17
1582685667.768199,25,17
1582685667.769485,4,17
1582685667.771931,-13,17
1582685667.775282,-5,17
1582685667.775384,20,17
1582685667.77548,26,17
1582685667.775574,40,17
1582685667.775668,33,17
1582685667.7757618,38,17
1582685667.775856,60,17
1582685667.775949,88,17
1582685667.776042,113,17
1582685667.776136,129,17
1582685667.7762291,119,17
1582685667.7763221,88,17
1582685667.776416,75,17
1582685667.776509,88,17
1582685667.776602,102,17
1582685667.776735,88,17
1582685667.776829,91,17
1582685667.7769222,108,17
1582685667.777015,113,17
1582685667.77711,101,17
1582685667.778205,84,17
1582685667.779434,37,17
1582685667.7806778,-13,17
1582685667.7819462,-50,17
1582685667.783185,-72,17
1582685667.785686,-83,17
1582685667.7869709,-102,17
1582685667.7894201,-156,17
1582685667.79069,-171,17
1582685667.82714,-131,17
1582685667.828125,-76,17
1582685667.8295722,-81,17
1582685667.830552,-147,17
1582685667.833954,-178,17
1582685667.834058,-140,17
1582685667.834153,-77,17
1582685667.8342469,-42,17
1582685667.834341,-43,17
1582685667.834434,-65,17
1582685667.834528,-75,17
1582685667.834621,-77,17
1582685667.8347142,-75,17
1582685667.8348072,-59,17
1582685667.834901,-23,17
1582685667.8349938,-5,17
1582685667.835087,-4,17
1582685667.835181,19,17
1582685667.835274,44,17
1582685667.835414,84,17
1582685667.8355331,103,17
